timestamp,log_type,latitude,longitude,altitude_m,max_temp_c,hotspot_count,hotspot_size
2026-04-07 20:20:43.277395,Detection,0,0,0,77.41250000000002,1,241.0
2026-04-07 20:20:43.317507,Detection,0,0,0,77.53750000000002,1,241.0
2026-04-07 20:20:43.357235,Detection,0,0,0,77.41250000000002,1,241.0
2026-04-07 20:20:43.397393,Detection,0,0,0,77.41250000000002,1,233.0
2026-04-07 20:20:43.437471,Detection,0,0,0,77.35000000000002,1,236.5
2026-04-07 20:20:43.477252,Detection,0,0,0,77.47500000000002,1,240.5
2026-04-07 20:20:43.517160,Detection,0,0,0,77.47500000000002,1,237.0
2026-04-07 20:20:43.557183,Detection,0,0,0,77.41250000000002,1,241.0
2026-04-07 20:20:43.597476,Detection,0,0,0,77.47500000000002,1,239.0
2026-04-07 20:20:43.637348,Detection,0,0,0,77.53750000000002,1,242.0
2026-04-07 20:20:43.677350,Detection,0,0,0,77.47500000000002,1,241.5
2026-04-07 20:20:43.717471,Detection,0,0,0,77.47500000000002,1,240.5
2026-04-07 20:20:43.757220,Detection,0,0,0,77.47500000000002,1,238.5
2026-04-07 20:20:43.797275,Detection,0,0,0,77.47500000000002,1,237.5
2026-04-07 20:20:43.837435,Detection,0,0,0,77.53750000000002,1,242.5
2026-04-07 20:20:43.877310,Detection,0,0,0,77.47500000000002,1,241.0
2026-04-07 20:20:43.917538,Detection,0,0,0,77.53750000000002,1,241.5
2026-04-07 20:20:43.957148,Detection,0,0,0,77.47500000000002,1,240.5
2026-04-07 20:20:43.998309,Detection,0,0,0,77.53750000000002,1,239.0
2026-04-07 20:20:44.037443,Detection,0,0,0,77.41250000000002,1,245.0
2026-04-07 20:20:44.077395,Detection,0,0,0,77.47500000000002,1,240.0
2026-04-07 20:20:44.117482,Detection,0,0,0,77.47500000000002,1,238.0
2026-04-07 20:20:44.157260,Detection,0,0,0,77.47500000000002,1,241.0
2026-04-07 20:20:44.197375,Detection,0,0,0,77.47500000000002,1,241.0
2026-04-07 20:20:44.237531,Detection,0,0,0,77.41250000000002,1,241.5
2026-04-07 20:20:44.277259,Detection,0,0,0,77.41250000000002,1,233.0
2026-04-07 20:20:44.317393,Detection,0,0,0,77.53750000000002,1,240.5
2026-04-07 20:20:44.357174,Detection,0,0,0,77.53750000000002,1,237.5
2026-04-07 20:20:44.397429,Detection,0,0,0,77.60000000000002,1,240.0
2026-04-07 20:20:44.437346,Detection,0,0,0,77.60000000000002,1,243.5
2026-04-07 20:20:44.477260,Detection,0,0,0,77.60000000000002,1,234.5
2026-04-07 20:20:44.517502,Detection,0,0,0,77.53750000000002,1,233.5
2026-04-07 20:20:44.557383,Detection,0,0,0,77.66250000000002,1,244.5
2026-04-07 20:20:44.597342,Detection,0,0,0,77.72500000000002,1,249.5
2026-04-07 20:20:44.637396,Detection,0,0,0,77.66250000000002,1,244.5
2026-04-07 20:20:44.677288,Detection,0,0,0,77.60000000000002,1,240.0
2026-04-07 20:20:44.717432,Detection,0,0,0,77.66250000000002,1,243.0
2026-04-07 20:20:44.757176,Detection,0,0,0,77.60000000000002,1,241.0
2026-04-07 20:20:44.797438,Detection,0,0,0,77.60000000000002,1,245.0
2026-04-07 20:20:44.837319,Detection,0,0,0,77.60000000000002,1,242.0
2026-04-07 20:20:44.877400,Detection,0,0,0,77.60000000000002,1,243.5
2026-04-07 20:20:44.917417,Detection,0,0,0,77.72500000000002,1,239.0
2026-04-07 20:20:44.957256,Detection,0,0,0,77.72500000000002,1,242.0
2026-04-07 20:20:44.997386,Detection,0,0,0,77.72500000000002,1,245.0
2026-04-07 20:20:45.038197,Detection,0,0,0,77.72500000000002,1,241.0
2026-04-07 20:20:45.077428,Detection,0,0,0,77.72500000000002,1,243.5
2026-04-07 20:20:45.117409,Detection,0,0,0,77.72500000000002,1,238.5
2026-04-07 20:20:45.157207,Detection,0,0,0,77.66250000000002,1,242.0
2026-04-07 20:20:45.197338,Detection,0,0,0,77.72500000000002,1,239.0
2026-04-07 20:20:45.237298,Detection,0,0,0,77.78750000000002,1,242.5
2026-04-07 20:20:45.277322,Detection,0,0,0,77.72500000000002,1,242.5
2026-04-07 20:20:45.317415,Detection,0,0,0,77.85000000000002,1,238.5
2026-04-07 20:20:45.357170,Detection,0,0,0,77.72500000000002,1,240.5
2026-04-07 20:20:45.397525,Detection,0,0,0,77.72500000000002,1,240.0
2026-04-07 20:20:45.437404,Detection,0,0,0,77.72500000000002,1,237.5
2026-04-07 20:20:45.477349,Detection,0,0,0,77.72500000000002,1,244.0
2026-04-07 20:20:45.517307,Detection,0,0,0,77.72500000000002,1,239.5
2026-04-07 20:20:45.557178,Detection,0,0,0,77.66250000000002,1,237.5
2026-04-07 20:20:45.597458,Detection,0,0,0,77.66250000000002,1,241.5
2026-04-07 20:20:45.637269,Detection,0,0,0,77.66250000000002,1,239.5
2026-04-07 20:20:45.677343,Detection,0,0,0,77.60000000000002,1,239.5
2026-04-07 20:20:45.717296,Detection,0,0,0,77.47500000000002,1,228.5
2026-04-07 20:20:45.757265,Detection,0,0,0,77.22500000000002,1,214.0
2026-04-07 20:20:45.797194,Detection,0,0,0,70.16250000000002,1,101.0
2026-04-07 20:20:45.837357,Detection,0,0,0,67.78750000000002,1,58.0
2026-04-07 20:20:50.997377,Heartbeat,0,0,0,,,
